"","name","address","city","url"
"97","Frostproof Care Center","17 S Scenic Hwy","Frostproof, FL","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7488"
"72","Broward Partnership for the Homeless Central Campus","920 NW 7th Avenue","Ft Lauderdale, FL 33311","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7218"
"141","Ft Myers Rescue Mission","6900 Mission Lane","Ft Myers, FL 33916","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7489"
"1","Family Promise of Gainesville, Florida, Inc.","226 SW 5th St","Gainesville, FL 32601","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13389"
"2","St Francis House Emergency Shelter","413 S. Main St.","Gainesville, FL 32601","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12265"
"3","Interfaith Hospitality Network","not disclosed.","Gainesville, FL 32601","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7649"
"4","GRACE Marketplace","3055 NE 28th Drive","Gainesville, FL 32609","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15237"
"62","Austin Hepburn Senior Mini Center","750 NW 8th Avenue","Hallandale Beach, FL 33009","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15302"
"70","Salvation Army Hialeah Support Services","7450 W. Fourth Ave","Hialeah, FL 33014","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11369"
"182","St Vincent DePaul Society","12001 SE Federal Hwy","Hobe Sound, FL 33455","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8065"
"157","Family Renew Community","810 Ridgewood Ave.","Holly Hill, FL 32117","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8459"
"158","Daytona Rescue Mission","501 Ridgewood Ave","Holly Hill, FL 32117","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7380"
"63","Jubilee Center of South Broward Inc","2020 Scott St","Hollywood, FL 33020","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7674"
"66","Rebel's Drop in Center","3400 North 29th Avenue","Hollywood, FL 33020","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15347"
"65","Broward Outreach Center Hollywood","2056 Scott Street","Hollywood, FL 33022","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11005"
